Permutation_Index,Theta_pp
446,-0.8021722710929189
447,-0.5123548088968037
448,-0.4256061057681442
449,-0.5867083318662073
450,-0.7494865147738666
451,-0.9142707980257236
452,-1.0384104398611536
453,-1.1236311428862598
454,-0.4297122034512716
455,-0.9641409004350364
456,-0.0995097965734781
457,-1.0422924532950368
458,-0.487343850589028
459,-0.6709826611213104
460,-0.5447039233586519
461,-0.5984711505118152
462,-1.1054114700856894
463,-0.14362423331129642
464,-0.23338824845669992
465,-0.4088126124852865
466,-0.7051882940634734
467,-0.7750370540631577
468,-0.9925548704243994
469,-0.943490922038491
470,-0.6902865122973405
471,-0.35215084203990166
472,-0.7755869358349112
473,-0.9602192794745905
474,-1.100666718033517
475,-0.38653421785673325
476,-1.1880999911351129
477,-0.6809925732979417
478,-0.42006058989419043
479,-0.8869889030861965
480,-0.9660139293234239
481,-0.9332550902194364
482,-1.1956928547928662
483,-0.870476335333251
484,-0.4577138021685038
485,-0.4124771860008235
486,-0.4657433308218698
487,-0.931177412292291
488,-0.183149505510909
489,-1.1303344973155982
490,-1.1693428765173115
491,-0.7545636395816334
492,-0.27222129050501426
493,-0.9191754498672277
494,-0.9741085291354583
495,-0.9456503281901913
496,-1.8053736291861018
497,-1.067438155275769
498,-1.0124011151090706
499,-1.1530376589406648
500,-0.8154435924786556
501,-0.5032510981999616
502,-1.1196376802210761
503,-0.6683101340517912
504,-0.9712496576783488
505,-0.7400413915770615
506,-0.5024332768104537
507,-0.3341700153285091
508,-0.9983609882884036
509,-0.8012748213736223
510,-0.253868576481502
511,-0.5412103978282651
512,-1.262743945991129
513,-0.6311389547213608
514,-0.6382506527109361
515,-1.3801570472462577
516,-0.6460124561089396
517,-0.7775842445327934
518,-0.03567971251139259
519,-1.0916625586921471
520,-0.09603701843751887
521,-1.715649026206545
522,-0.6784556111841687
523,-0.657047726218985
524,-1.0136686341003225
525,-0.4590625421413314
526,-0.6738958265657017
527,-1.085912946576399
528,-1.3071574401872108
529,-1.2448811166410638
530,-0.9068010216199527
531,-1.0916210922052156
532,-0.9748986290010321
533,-1.2910719190992006
534,-0.8911307797793153
535,-0.6740096233759086
536,-0.3273116335144041
537,-0.672875234050807
538,-0.864716910236781
539,-1.0501262887944216
540,-1.0004862750460797
541,-1.422989049875919
542,-0.6235169685746001
543,-1.1648471160321932
544,-0.9066286723581186
545,-0.723901042718598
546,-0.5217622036012375
547,-0.5811701525883163
548,-0.5889449420760848
549,-1.0979674055851243
550,-0.8484544204060627
551,-0.8305919470473158
552,-0.7010272179473128
553,-1.0538675845046597
554,-0.7643294615112903
555,-1.2029320115898345
556,-1.1251169905559597
557,-0.7843688142662011
558,-0.5643867331792696
559,-0.7481757019957428
560,-0.7514760581823556
561,-0.3610595950908181
562,-1.0992190006196805
563,-0.6484294634330889
564,-0.9897797415204912
565,-0.5736272787345107
566,-1.1234777589568286
567,-0.7963211791963666
568,-0.4443094088469395
569,-0.7815371847888235
570,-1.3036655077755426
571,-1.1363966854909904
572,-0.8964722279541216
573,-0.7016740339479887
574,-0.8838392659867753
575,-0.7805553881516553
576,-1.2944712580781277
577,-0.8679596582838792
578,-0.3394175130568958
579,-0.21304925416802206
580,-1.0546237184900946
581,-0.2782792343361093
582,-0.6301828870693508
583,-0.8830615607197617
584,-0.7240055005907458
585,-0.81954885082708
586,-0.6859039621740692
587,-0.6049809768352415
588,-0.4378488364533024
589,-1.245704632120314
590,-0.5979996418047911
591,-0.4602908088601644
592,-0.8302510522400324
593,-0.6384358667512199
594,-0.916813893398256
595,-1.541775177480389
596,-0.2407742738790257
597,-0.6363568931459843
598,-0.9814290506582705
599,-1.0223054140841226
600,-0.5107787542015428
601,-0.679842142911879
602,-0.8466414863785793
